day_id,day_of_week,hour,ACTIVITY_NAME,ACTIVITY_NAME_ENC
0,0,0,Sleeping,7
0,0,1,Socializing and Leisure,8
0,0,2,Sleeping,7
0,0,3,Sleeping,7
0,0,4,Sleeping,7
0,0,5,Sleeping,7
0,0,6,Sleeping,7
0,0,7,Traveling / Commuting,10
0,0,8,Socializing and Leisure,8
0,0,9,Education,2
0,0,10,Personal Care,4
0,0,11,Religious and Volunteer Activities,5
0,0,12,Education,2
0,0,13,Working,11
0,0,14,Working,11
0,0,15,Working,11
0,0,16,Working,11
0,0,17,Socializing and Leisure,8
0,0,18,Caring for Household Members,0
0,0,19,Household Activities,3
0,0,20,Socializing and Leisure,8
0,0,21,Sleeping,7
0,0,22,Sleeping,7
0,0,23,Sleeping,7
1,1,0,Sleeping,7
1,1,1,Sleeping,7
1,1,2,Sleeping,7
1,1,3,Sleeping,7
1,1,4,Sleeping,7
1,1,5,Sleeping,7
1,1,6,Household Activities,3
1,1,7,Personal Care,4
1,1,8,Personal Care,4
1,1,9,Religious and Volunteer Activities,5
1,1,10,Religious and Volunteer Activities,5
1,1,11,Education,2
1,1,12,Working,11
1,1,13,Eating and Drinking,1
1,1,14,Sports and Exercise,9
1,1,15,Working,11
1,1,16,Working,11
1,1,17,Shopping,6
1,1,18,Personal Care,4
1,1,19,Traveling / Commuting,10
1,1,20,Household Activities,3
1,1,21,Socializing and Leisure,8
1,1,22,Sleeping,7
1,1,23,Sleeping,7
2,2,0,Sleeping,7
2,2,1,Sleeping,7
2,2,2,Education,2
2,2,3,Sleeping,7
2,2,4,Shopping,6
2,2,5,Sports and Exercise,9
2,2,6,Household Activities,3
2,2,7,Traveling / Commuting,10
2,2,8,Personal Care,4
2,2,9,Working,11
2,2,10,Personal Care,4
2,2,11,Working,11
2,2,12,Working,11
2,2,13,Working,11
2,2,14,Education,2
2,2,15,Working,11
2,2,16,Working,11
2,2,17,Socializing and Leisure,8
2,2,18,Eating and Drinking,1
2,2,19,Sports and Exercise,9
2,2,20,Personal Care,4
2,2,21,Religious and Volunteer Activities,5
2,2,22,Socializing and Leisure,8
2,2,23,Sleeping,7
3,3,0,Sleeping,7
3,3,1,Sleeping,7
3,3,2,Sleeping,7
3,3,3,Sleeping,7
3,3,4,Sleeping,7
3,3,5,Sleeping,7
3,3,6,Eating and Drinking,1
3,3,7,Personal Care,4
3,3,8,Traveling / Commuting,10
3,3,9,Socializing and Leisure,8
3,3,10,Working,11
3,3,11,Eating and Drinking,1
3,3,12,Working,11
3,3,13,Working,11
3,3,14,Education,2
3,3,15,Socializing and Leisure,8
3,3,16,Traveling / Commuting,10
3,3,17,Shopping,6
